개방자치단체코드,관리번호,설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분명,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3740000,202637400000700894,장안구청 광장,경기도 수원시 장안구 조원동 888,경기도,수원시,관공서,KT,PublicWiFi@Suwon,201701,경기도 수원시 장안구 송원로 101(조원동),경기도 수원시 장안구 조원동 888,장안구 정보통신팀,031-5191-2299,37.30338127,127.0096236,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700895,매탄공원,경기도 수원시 영통구 매탄동 811,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 영통구 매탄로 185 (매탄동),경기도 수원시 영통구 매탄동 811,디지털정책과,031-5191-2299,37.267825,127.0458181,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700896,황새말공원,경기도 수원시 팔달구 화서동 714,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201801,,경기도 수원시 팔달구 화서동 714,디지털정책과,031-5191-2299,37.28686943,126.9804547,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700897,숙지공원,경기도 수원시 팔달구 화서동 264,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201801,,경기도 수원시 팔달구 화서동 264,디지털정책과,031-5191-2299,37.286524,126.981222,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700898,청소년문화공원,경기도 수원시 팔달구 인계동 349,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201801,,경기도 수원시 팔달구 인계동 349,디지털정책과,031-5191-2299,37.274526,127.033745,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700899,풍림아파트(01083),경기도 수원시 장안구 정자동 872-6,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,,경기도 수원시 장안구 정자동 872-6,디지털정책과,031-5191-2299,37.298354,126.992429,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700900,탑동초등학교.삼성아파트(02103),경기도 수원시 권선구 탑동 758-4,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 권선구 금호로 224-1 (탑동),경기도 수원시 권선구 탑동 758-4,디지털정책과,031-5191-2299,37.27510436,126.9746352,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700901,우방아파트(02104),경기도 수원시 권선구 탑동 861-1,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 권선구 하탑로 30 (탑동),경기도 수원시 권선구 탑동 861-1,디지털정책과,031-5191-2299,37.26861332,126.9749125,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700902,수원역(03022),경기도 수원시 팔달구 매산로1가 18,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 팔달구 덕영대로 924 (매산로1가),경기도 수원시 팔달구 매산로1가 18,디지털정책과,031-5191-2299,37.26567858,127.0000947,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700903,아주대입구.우리은행(03132),경기도 수원시 팔달구 우만동 89-5,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 팔달구 중부대로 229 (우만동),경기도 수원시 팔달구 우만동 89-5,디지털정책과,031-5191-2299,37.2755067,127.0425439,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700904,그대가프리미어아파트.망포역3번출구(04072),경기도 수원시 영통구 망포동 309-9,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,,경기도 수원시 영통구 망포동 309-9,디지털정책과,031-5191-2299,37.244997,127.056104,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700905,황골마을(04166),경기도 수원시 영통구 영통동 945-1,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,,경기도 수원시 영통구 영통동 945-1,디지털정책과,031-5191-2299,37.2672941,127.0813943,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700906,동수원우체국.삼성래미안(03166),경기도 수원시 팔달구 인계동 465-2,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 팔달구 인계로 143 (인계동),경기도 수원시 팔달구 인계동 465-2,디지털정책과,031-5191-2299,37.26722361,127.0335606,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700907,영덕고등학교.영통역(04132),경기도 수원시 영통구 영통동 961-7,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 영통구 매영로 333 (영통동),경기도 수원시 영통구 영통동 961-7,디지털정책과,031-5191-2299,37.252354,127.069823,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700908,태평양화학.삼성전자입구(04123),경기도 수원시 영통구 원천동 603-5,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,,경기도 수원시 영통구 원천동 603-5,디지털정책과,031-5191-2299,37.26915591,127.0665592,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700909,신나무실아파트(04120),경기도 수원시 영통구 영통동 965-2,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 영통구 매영로310번길 27 (영통동),경기도 수원시 영통구 영통동 965-2,디지털정책과,031-5191-2299,37.25259127,127.0663418,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700910,성균관대역(01015),경기도 수원시 장안구 율전동 291-3,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 장안구 서부로 2129 (율전동),경기도 수원시 장안구 율전동 291-3,디지털정책과,031-5191-2299,37.29857744,126.9712618,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700911,성균관대학교(01013),경기도 수원시 장안구 율전동 433-67,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 장안구 서부로 2112 (율전동),경기도 수원시 장안구 율전동 433-67,디지털정책과,031-5191-2299,37.29705284,126.9710413,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700912,웃거리(02120),경기도 수원시 권선구 구운동 507-18,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 권선구 수인로 191 (구운동),경기도 수원시 권선구 구운동 507-18,디지털정책과,031-5191-2299,37.27663334,126.9788021,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700913,구운중학교(02110),경기도 수원시 권선구 탑동 759-11,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 권선구 금호로 242 (탑동),경기도 수원시 권선구 탑동 759-11,디지털정책과,031-5191-2299,37.27546155,126.9764888,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700914,매여울공원,경기도 수원시 영통구 매탄동 1338,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 영통구 효원로 408 (매탄동),경기도 수원시 영통구 매탄동 1338,디지털정책과,031-5191-2299,37.25698081,127.0438276,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700915,선주리들공원,경기도 수원시 영통구 매탄동 1345,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201801,,경기도 수원시 영통구 매탄동 1345,디지털정책과,031-5191-2299,37.25604727,127.0439939,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700916,황골공원,경기도 수원시 영통구 영통동 948-2,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 영통구 영통로 530 (영통동),경기도 수원시 영통구 영통동 948-2,디지털정책과,031-5191-2299,37.26636251,127.0785928,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700917,광교푸른숲도서관,경기도 수원시 영통구 하동 1024,경기도,수원시,교육시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 영통구 광교호수로 131,경기도 수원시 영통구 하동 1024,도서관사업소,031-5191-2299,37.28095579,127.0668177,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700918,매여울도서관,경기도 수원시 영통구 매탄동 1268,경기도,수원시,교육시설,KT,PublicWiFi@Suwon,201801,경기도 수원시 영통구 효원로 415,경기도 수원시 영통구 매탄동 1268,도서관사업소,031-5191-2299,37.25932937,127.0473596,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700919,망포글빛도서관,경기도 수원시 영통구 망포동 84-5,경기도,수원시,교육시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 영통구 망포로100,경기도 수원시 영통구 망포동 84-5,도서관사업소,031-5191-2299,37.2406609,127.0443591,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700920,밤밭청개구리공원,경기도 수원시 장안구 율전동 124-1,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 장안구 상률로 37-18 (율전동),경기도 수원시 장안구 율전동 124-1,디지털정책과,031-5191-2299,37.306908,126.971511,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700921,청정공원,경기도 수원시 권선구 권선동 1198,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 권선구 덕영대로1207번길 26-6 (권선동),경기도 수원시 권선구 권선동 1198,디지털정책과,031-5191-2299,37.249758,127.023086,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700922,마중공원,경기도 수원시 권선구 권선동 1348,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 권선구 경수대로 88 (권선동),경기도 수원시 권선구 권선동 1348,디지털정책과,031-5191-2299,37.236487,127.021208,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700923,여기산공원,경기도 수원시 권선구 서둔동 256,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 권선구 여기산로26번길 30 (서둔동),경기도 수원시 권선구 서둔동 256,디지털정책과,031-5191-2299,37.28081077,126.9799827,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700924,일월공원,경기도 수원시 장안구 천천동 442-2,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 장안구 일월천로 77,경기도 수원시 장안구 천천동 442-2,디지털정책과,031-5191-2299,37.285964,126.976331,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700925,매화공원,경기도 수원시 영통구 매탄동 1317,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,,경기도 수원시 영통구 매탄동 1317,디지털정책과,031-5191-2299,37.26086455,127.0478521,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700926,망포공원,경기도 수원시 영통구 망포동 358,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,,경기도 수원시 영통구 망포동 358,디지털정책과,031-5191-2299,37.242553,127.057707,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700927,지성공원,경기도 수원시 영통구 망포동 755,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 영통구 동탄지성로 520,경기도 수원시 영통구 망포동 755,디지털정책과,031-5191-2299,37.23882922,127.0463235,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700928,방죽공원,경기도 수원시 영통구 망포동 737,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 영통구 덕영대로1484번길 10-25 (망포동),경기도 수원시 영통구 망포동 737,디지털정책과,031-5191-2299,37.24470191,127.0514801,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700929,반달공원,경기도 수원시 영통구 영통동 1012-4,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 반달로 77 (영통동),경기도 수원시 영통구 영통동 1012-4,디지털정책과,031-5191-2299,37.25093287,127.0788698,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700930,벽적골공원,경기도 수원시 영통구 영통동 969-2,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 영통구 덕영대로1555번길 60 (영통동),경기도 수원시 영통구 영통동 969-2,디지털정책과,031-5191-2299,37.24861822,127.0619876,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700931,살구골공원,경기도 수원시 영통구 영통동 989-3,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 영통구 매영로 378 (영통동),경기도 수원시 영통구 영통동 989-3,디지털정책과,031-5191-2299,37.25066352,127.0716873,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700932,누리문화공원,경기도 수원시 권선구 금곡동 1075,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,,경기도 수원시 권선구 금곡동 1075,디지털정책과,031-5191-2299,37.275978,126.944665,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700933,물새공원,경기도 수원시 권선구 금곡동 1075,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,,경기도 수원시 권선구 금곡동 1075,디지털정책과,031-5191-2299,37.275968,126.944609,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700934,서수원칠보체육공원,경기도 수원시 권선구 금곡동 1071,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 권선구 서수원로577번길 171 (금곡동),경기도 수원시 권선구 금곡동 1071,디지털정책과,031-5191-2299,37.27628877,126.9483135,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700935,물향기공원,경기도 수원시 권선구 호매실동 1384,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 권선구 호매실로 219,경기도 수원시 권선구 호매실동 1384,디지털정책과,031-5191-2299,37.262498,126.9519,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700936,두레뜰공원,경기도 수원시 권선구 호매실동 1341,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 권선구 금곡로 140번길68,경기도 수원시 권선구 호매실동 1341,디지털정책과,031-5191-2299,37.270742,126.944901,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700937,어울림공원,경기도 수원시 권선구 금곡동 1128,경기도,수원시,편의시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 권선구 서수원로 533-40 (금곡동),경기도 수원시 권선구 금곡동 1128,디지털정책과,031-5191-2299,37.272681,126.956419,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700938,한일타운.경기일보.홈플러스(01125),경기도 수원시 장안구 조원동 892,경기도,수원시,교통시설,KT,PublicWiFi@Suwon,201901,,경기도 수원시 장안구 조원동 892,디지털정책과,031-5191-2299,37.303612,127.006588,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700939,고색뉴지엄,경기도 수원시 권선구 고색동 979,경기도,수원시,교육시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 권선구 산업로 85 (고색동),경기도 수원시 권선구 고색동 979,디지털정책과,031-5191-2299,37.23999958,126.9740249,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700940,수원 구 부국원,경기도 수원시 팔달구 교동 93-7,경기도,수원시,교육시설,KT,PublicWiFi@Suwon,201901,경기도 수원시 팔달구 향교로 130 (교동),경기도 수원시 팔달구 교동 93-7,디지털정책과,031-5191-2299,37.27239224,127.0146122,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700941,수원종합버스터미널 대합실,경기도 수원시 권선구 권선동 1189,경기도,수원시,교통시설,KT,Public WiFi Free,201901,경기도 수원시 권선구 경수대로 270,경기도 수원시 권선구 권선동 1189,통신사,031-5191-2299,37.25137546,127.0204423,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700942,서수원시외터미널 대합실,경기도 수원시 권선구 구운동 925,경기도,수원시,교통시설,KT,Public WiFi Free,201901,경기도 수원시 권선구 수인로 291,경기도 수원시 권선구 구운동 925,통신사,031-5191-2299,37.28262879,126.9701447,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700943,광교중앙역 환승센터,경기도 수원시 영통구 이의동 177-18,경기도,수원시,교통시설,KT,Public WiFi Free,201901,경기도 수원시 영통구 도청로 45,경기도 수원시 영통구 이의동 177-18,통신사,031-5191-2299,37.28825808,127.0518977,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700944,아주대시외버스정류장,경기도 수원시 영통구 매탄동153-3,경기도,수원시,교통시설,KT,Public WiFi Free,201901,경기도 수원시 영통구 중부대로 268,경기도 수원시 영통구 매탄동153-3,통신사,031-5191-2299,37.27403528,127.0450236,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700945,우만동시외버스정류장,경기도 수원시 팔달구 우만동 300-5,경기도,수원시,교통시설,KT,Public WiFi Free,201901,경기도 수원시  팔달구 창룡대로210번길 12,경기도 수원시 팔달구 우만동 300-5,통신사,031-5191-2299,37.29208892,127.0327912,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700946,권선구청 종합민원실,경기도 수원시 권선구 탑동 900,경기도,수원시,관공서,KT,PublicWiFi@Suwon,201901,경기도 수원시 권선구 호매실로 12 (탑동),경기도 수원시 권선구 탑동 900,디지털정책과,031-5191-2299,37.257623,126.972072,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700947,팔달구청 종합민원실,경기도 수원시 팔달구 매향동 49,경기도,수원시,관공서,KT,PublicWiFi@Suwon,201901,경기도 수원시 팔달구 창룡대로 23 (매향동),경기도 수원시 팔달구 매향동 49,디지털정책과,031-5191-2299,37.282513,127.01968,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700948,영통구청 종합민원실,경기도 수원시 영통구 매탄동 1268,경기도,수원시,관공서,KT,PublicWiFi@Suwon,201901,경기도 수원시 영통구 효원로 407 (매탄동),경기도 수원시 영통구 매탄동 1268,디지털정책과,031-5191-2299,37.259597,127.046305,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
3740000,202637400000700949,선경도서관,경기도 수원시 팔달구 신풍동 123-69,경기도,수원시,교육시설,SKB,PublicWiFi@Suwon,201901,경기도 수원시 팔달구 신풍로 23번길 68 (신풍동),경기도 수원시 팔달구 신풍동 123-69,도서관사업소,031-5191-2299,37.283838,127.010338,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:08
